product_name,product_type,clean_ingreds,price,product_url
First Aid Beauty Ultra Repair Cream (56.7g),Moisturizer,"['colloidal oatmeal', 'water', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",£12.00,https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-56.7g/11054496.html
First Aid Beauty Ultra Repair Cream (170g),Moisturizer,"['colloidal oatmeal', 'water', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",£25.00,https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-170g/11054488.html
JASON Aloe Vera 98% Moisturising Gel Tube 113g,Moisturizer,"['aloe barbadenis extract', 'water', 'glycerin', 'allantoin', 'polysorbate-20', 'panthenol', 'potassium carbomer', 'arganine', 'menthol', 'benzyl alcohol', 'potassium sorbate', 'sodium benzoate', 'chlorophyllin-copper complex', 'parfum']",£2.99,https://www.lookfantastic.com/jason-aloe-vera-98-moisturising-gel-tube-113g/10546528.html
Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,Moisturizer,"['aloe barbadenis extract', 'water', 'ethylhexyl palmitate', 'coconut alkanes', 'butyrospermum parkii', 'cetyl alcohol', 'glycerin', 'prunus amygdalus dulcis', 'cetearyl alcohol', 'capric triglyceride', 'sodium acrylate/sodium acryloyldimethyl taurate copolymer', 'glyceryl stearate citrate', 'myristyl myristate', 'phenoxyethanol', 'isohexadecane', 'hydroxyacetophenone', 'sodium stearoyl glutamate', 'coco-caprylate', 'polysorbate 80', 'ethylhexyl glycerin', 'tocopherol', 'argania spinosa extract', 'cocos nucifera fruit extract', 'olea europaea fruit oil', 'persea gratissima oil', 'rosa canina flower oil', 'plukenetia volubilis oil', 'sorbitan oleate', 'glyceryl caprylate', '1,2-hexanediol', 'beta-glucan', 'caprylyl glycol', 'sodium benzoate', 'citric acid', 'sodium hydroxide']",£24.00,https://www.lookfantastic.com/mama-mio-the-tummy-rub-butter-120ml-fragrance-free/12078037.html
NIOD Hydration Vaccine Face Cream 50ml,Moisturizer,"['caprylyl methicone', 'water', 'dimethicon/ppg-20 crosspolymer', 'glycerin', 'propanediol', 'sodium polyacrylate', 'leontopodium alpinum callus culture extract', 'n-acetyl-d-glucosamine-6-phosphate disodium salt', 'proline', 'alanine', 'serine', 'glucose', 'xylitol', 'xylitylglucoside', 'anhydroxylitol', 'adansonia digitata seed oil', 'polypodium vulgare rhizome extract', 'cetraria islandica thallus extract', 'sphagnum magellanicum extract', 'pseudoalteromonas extract', 'tocopherol', 'tocopheryl acetate', 'mangifera indica extract', 'orbignya oleifera seed oil', 'squalene', 'lecithin', 'hexamethyldisiloxane', 'trimethylsiloxysilicate', 'cyclopentasiloxane', 'dimethicon', 'polysilicone-11', 'dimethicon/vinyl dimethicon crosspolymer', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'xanthan gum', 'caprylyl glycol', 'sodium benzoate', 'potassium sorbate', 'citric acid', 'sodium phosphate', 'sodium hydroxide', 'ethylhexyl glycerin', 'phenoxyethanol', 'chlorphenesin']",£35.00,https://www.lookfantastic.com/niod-hydration-vaccine-face-cream-50ml/11261665.html
Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint,Moisturizer,"['aloe barbadenis extract', 'water', 'ethylhexyl palmitate', 'coconut alkanes', 'butyrospermum parkii', 'cetyl alcohol', 'glycerin', 'prunus amygdalus dulcis', 'cetearyl alcohol', 'capric triglyceride', 'sodium acrylate/sodium acryloyldimethyl taurate copolymer', 'glyceryl stearate citrate', 'myristyl myristate', 'phenoxyethanol', 'isohexadecane', 'parfum', 'hydroxyacetophenone', 'sodium stearoyl glutamate', 'coco-caprylate', 'linalool', 'mentha arvensis leaf oil', 'polysorbate 80', 'lavandula angustifolia', 'citrus limon juice extract', 'lavandula hybrida extract', 'ethylhexyl glycerin', 'argania spinosa extract', 'cocos nucifera fruit extract', 'olea europaea fruit oil', 'persea gratissima oil', 'rosa canina flower oil', 'plukenetia volubilis oil', 'limonene', 'sorbitan oleate', 'glyceryl caprylate', 'tocopherol', 'helianthus annuus seed oil', 'cistus ladaniferus oil', 'cupressus sempervirens fruit extract', 'geraniol', 'citral', '1,2-hexanediol', 'beta-glucan', 'caprylyl glycol', 'coumarin', 'sodium benzoate', 'citric acid', 'sodium hydroxide']",£24.00,https://www.lookfantastic.com/mama-mio-the-tummy-rub-butter-120ml-lavender-and-mint/12078038.html
Estée Lauder Perfectionist [CP+R] Wrinkle Lifting/Firming Serum 30ml,Serum,"['dimethicon', 'water', 'polysilicone-11', 'hdi/trimethylol hexyllactone crosspolymer', 'silica', 'butylene glycol', 'caprylyl methicone', 'sigesbeckia orientalis extract', 'salvia sclarea', 'coleus forskohli rott extract', 'chamomilla recutita flower oil', 'dimethicon', 'hydrolyzed fish (pisces) collage', 'palmaria palmata extract', 'glycyrrhiza glabra root extract', 'silybum marianum extract', 'hordeum vulgare extract', 'padina pavonica extract', 'artemia extract', 'pantethine', 'aglae extract', 'chlorella vulgaris extract', 'cholesterol', 'squalene', 'boswellia serrata plant extract', 'zea mays extract', 'glycine soja extract', 'caffeinee', 'whey protein', 'linoleic acid', 'lecithin', 'fish (pisces) collagen', 'acetyl hexapeptide-8', 'glycerin', 'yeast extract', 'polyquaternium-51', 'phytosphingosine', 'triticum vulgare bran extract', 'decarboxy carnosine hcl', 'polysorbate-40', 'pentylene glycol', 'propanediol', 'lauryl peg-9', 'polydimethylsiloxyethyl dimethicon', 'ethylhexyl glycerin', 'ammonium acryloyldimethyltaurate/vp', 'sodium pca', 'propylene glycol dicoco-caprylate', 'sodium chondroitin sulfate', 'sodium hyaluronate', 'isohexadecane', 'peg-8', 'tocopheryl acetate', 'polysorbate-80', 'disodium distyrylbiphenyl disulfonate', 'laureth-12', 'acrylamide/sodium', 'caprylyl glycol', 'aminopropyl ascorbyl phosphate', 'xanthan gum', 'sodium beta-sitosteryl sulfate', 'sodium chloride', 'sodium hydroxide', 'parfum', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 77019', 'titanium dioxide']",£55.80,https://www.lookfantastic.com/estee-lauder-perfectionist-cp-r-wrinkle-lifting-firming-serum/11141542.html
The Organic Pharmacy Four Acid Peel Serum 30ml,Serum,"['hamamelis virginiana', 'water', 'citrus grandis', 'passiflora quadrangularis fruit extract', 'glycerin', 'sodium lactate', 'citrus limon juice extract', 'alcohol', 'algin', 'ananas sativas fruit extract', 'vitis vinifera extract', 'dehydroacetic acid', 'benzyl alcohol', 'chondrus crispus extract', 'xanthan gum', 'potassium sorbate', 'sodium bisulfite', 'sorbic acid', 'limonene', 'citral', 'linalool', 'glycolic acid', 'lactic acid', 'citric acid', 'tartaric acid']",£30.00,https://www.lookfantastic.com/the-organic-pharmacy-four-acid-peel-serum-30ml/12100161.html
DECLÉOR Hydra Floral White Petal Skin Perfecting Concentrate 30ml,Serum,"['rosa damascena', 'water', 'alcohol denat', 'propanediol', 'glycerin', '3-o-ethyl ascorbic acid', 'arganine', 'citric acid', 'ppg-26 buteth-26', 'sodium citrate', 'sodium hyaluronate', 'salicylic acid', 'castor oil', 'xanthan gum', 'maltodextrin', 'limonene', 'citrus aurantium dulcis', 'moringa oleifera seed oil', 'sucrose dilaurate', 'citrus aurantium amara flower water', 'sodium cocoyl glutamate', 'linalool', 'pisum sativum extract', 'citronellol', 'geraniol', 'parfum']",£36.40,https://www.lookfantastic.com/decleor-hydra-floral-white-petal-skin-perfecting-concentrate/11423420.html
TanOrganic Self-Tanning Oil - Brown (100ml),Oil,"['propanediol', 'water', 'aloe barbadenis extract', 'dihydroxyacetone', 'alcohol denat', 'borago officinalis seed oil', 'argania spinosa extract', 'citrus sinensis fruit extract', 'gluconolactone ', 'sodium benzoate', 'cellulose gum', 'decyl glucoside', 'caramel', 'limonene']",£18.74,https://www.lookfantastic.com/tanorganic-self-tanning-oil-brown-100ml/10997977.html
