product_name,product_type,clean_ingreds,price,product_url
La Roche-Posay Anthelios Anti-Shine Sun Protection Invisible SPF50+ Face Mist 75ml,Mist,"['butane', 'water', 'homosalate', 'octocrylene', 'glycerin', 'dimethicon', 'ethylhexyl salicylate', 'dicaprylyl carbonate', 'nylon 12', 'diisopropyl sebacate', 'butyl methoxydibenzoylmethane', 'styrene/acrylates', 'p-anisic acid', 'caprylyl glycol', 'carnosine', 'cyclohexasiloxane', 'disodium edta', 'drometrizole trisiloxane', 'ethylhexyl triazone', 'methyl methacrylate crosspolymer', 'peg-32', 'peg-8 laurate', 'phenoxyethanol', 'poly c10-30 alkyl acrylate', 'polyglyceryl-6 polyricinoleate', 'sodium chloride', 'sodium hyaluronate', 'tocopherol', 'parfum']",£14.00,https://www.lookfantastic.com/la-roche-posay-anthelios-anti-shine-sun-protection-invisible-spf50-face-mist-75ml/11393009.html
Garnier Ambre Solaire Sensitive Hydrating Hypoallergenic Face Sun Cream Mist SPF50 75ml,Mist,"['butane', 'water', 'homosalate', 'octocrylene', 'glycerin', 'dimethicon', 'ethylhexyl salicylate', 'dicaprylyl carbonate', 'nylon 12', 'diisopropyl sebacate', 'butyl methoxydibenzoylmethane', 'styrene/acrylates', 'copolymer', 'p-anisic acid', 'cyclohexasiloxane', 'tocopherol', 'sodium chloride', 'sodium hyaluronate', 'phenoxyethanol', 'thermus thermophillus ferment', 'peg-32', 'peg-8 laurate', 'ethylhexyl triazone', 'triethanolamine', 'polyglyceryl-6', 'polyricinoleate', 'poly c10-30 alkyl acrylate', 'pentylene glycol', 'drometrizole trisiloxane', 'caprylyl glycol', 'disodium edta', 'methyl methacrylate crosspolymer', 'potassium sorbate', 'scutellaria baicalensis extract', 'parfum']",£6.00,https://www.lookfantastic.com/ambre-solaire-sensitive-hydrating-hypoallergenic-face-sun-cream-mist-spf50-75ml/11469198.html
Garnier Ambre Solaire Dry Mist Fast Absorbing Sun Cream Spray SPF30 200ml,Mist,"['butane', 'water', 'homosalate', 'dicaprylyl ether', 'octocrylene', 'ethylhexyl salicylate', 'dimethicon', 'styrene/acrylates', 'butyl methoxydibenzoylmethane', 'peg-30 dipolyhydroxystearate', 'nylon 12', 'methyl methacrylate crosspolymer', 'methacrylate crosspolymer', 'cyclohexasiloxane', 'drometrizole trisiloxane', 'polymethylsilsesquioxane', 'p-anisic acid', 'tocopherol', 'sodium chloride', 'dodecene', 'phenoxyethanol', 'peg-8 laurate', 'poly c10-30 alkyl acrylate', 'poloxamer 407', 'limonene', 'benzyl salicylate', 'benzyl alcohol', 'linalool', 'isododecane', 'drometrizole trisiloxane', 'propylene carbonate', 'caprylyl glycol', 'disteardimonium hectorite', 'disodium edta', 'citral', 'citronellol', 'lauryl peg/ppg-18/18 methicone', 'coumarin', 'parfum']",£8.00,https://www.lookfantastic.com/ambre-solaire-dry-mist-fast-absorbing-sun-cream-spray-spf30-200ml/11469199.html
PIXI Sun Mist 80ml,Mist,"['disiloxane', 'water', 'alcohol', 'cyclopentasiloxane', 'c12-15', 'diethylamino hydroxybenzoyl hexyl benzoate', 'cetyl dimethicon', 'butylene glycol', 'dicaprylyl carbonate', 'phenoxyethanol', 'stearic acid', 'sodium chloride', 'ci 77002', 'polyhydroxystearic acid', 'aluminum stearate', 'dipropylene glycol', 'disodium edta', 'jasminum officinale extract', 'aloe barbadenis extract', 'portulaca oleracea extract', 'anthemis nobilis flower water', 'bambusa vulgaris extract', 'tocopherol']",£18.00,https://www.lookfantastic.com/pixi-sun-mist/11384922.html
Garnier Ambre Solaire Sensitive Hypoallergenic Dry Mist Sun Cream Spray SPF50 200ml,Mist,"['butane', 'water', 'homosalate', 'dicaprylyl ether', 'octocrylene', 'ethylhexyl salicylate', 'dimethicon', 'styrene/acrylates', 'butyl methoxydibenzoylmethane', 'drometrizole trisiloxane', 'peg-30 dipolyhydroxystearate', 'nylon 12', 'dicaprylyl carbonate', 'methyl methacrylate crosspolymer', 'cyclohexasiloxane', 'polymethylsilsesquioxane', 'p-anisic acid', 'tocopherol', 'sodium chloride', 'dodecene', 'phenoxyethanol', 'thermus thermophillus ferment', 'peg-8 laurate', 'ethylhexyl triazone', 'poly c10-30 alkyl acrylate', 'poloxamer 407', 'isododecane', 'isostearyl alcohol', 'propylene carbonate', 'caprylyl glycol', 'disteardimonium hectorite', 'disodium edta', 'potassium sorbate', 'lauryl peg/ppg-18/18 methicone', 'glycerin']",£7.00,https://www.lookfantastic.com/ambre-solaire-sensitive-hypoallergenic-dry-mist-sun-cream-spray-spf50-200ml/11469200.html
Bondi Sands Self Tanning Mist 250ml - Light/Medium,Mist,"['butane', 'water', 'alcohol', 'isobutane', 'propane', 'dihydroxyacetone', 'ethoxydiglycol', 'parfum', 'tocopheryl acetate', 'castor oil', 'ci 14700', 'ci 19140', 'ci 42090', 'propellant: hydrocarbon']",£11.99,https://www.lookfantastic.com/bondi-sands-self-tanning-mist-250ml-light-medium/11568693.html
Bondi Sands Self Tanning Mist 250ml - Dark,Mist,"['butane', 'water', 'alcohol', 'isobutane', 'propane', 'dihydroxyacetone', 'ethoxydiglycol', 'parfum', 'tocopheryl acetate', 'castor oil', 'ci 14700', 'ci 19140', 'ci 42090']",£11.99,https://www.lookfantastic.com/bondi-sands-self-tanning-mist-250ml-dark/11568694.html
James Read Instant Bronzing Mist 200ml,Mist,"['dimethyl ether', 'water', 'alcohol denat', 'dihydroxyacetone', 'propylene glycol', 'erythrulose', 'glycerin', 'castor oil', 'citric acid', 'tocopheryl acetate', 'aloe barbadenis extract', 'squalene', 'ubiquinone', 'potassium sorbate', 'ci 16035', 'ci 19140', 'ci 42090']",£25.00,https://www.lookfantastic.com/james-read-instant-bronzing-mist-200ml/11232350.html
BBB London Rosewater Mist 50ml,Mist,"['rosa damascena', 'water', 'anthemis nobilis flower water', 'propanediol', 'polysorbate-20', 'panthenol', 'pentylene glycol', 'pvp', '1,2-hexanediol', 'gluconolactone', 'caprylhydroxamic acid', 'sodium benzoate', 'parfum', 'sodium hydroxide', 'helianthus annuus seed oil', 'sodium hyaluronate', 'citronellol', 'rosa alba flower extract', 'calcium gluconate']",£22.00,https://www.lookfantastic.com/bbb-london-rosewater-mist/11893225.html
Acorelle Pure Harvest Body Perfume - 100ml,Mist,"['alcohol', 'water', 'glycerin', 'parfum', 'limonene', 'linalool']",£10.00,https://www.lookfantastic.com/acorelle-pure-harvest-body-perfume-100ml/11577065.html
Holika Holika Good Cera Super Ceramide Moisture Balm 40ml,Balm,"['glycerin', 'water', 'cetearyl alcohol', 'olea europaea fruit oil', '1,2-hexanediol', 'macadamia ternifolia seed oil', 'cetearyl glucoside', 'glyceryl stearate', 'stearic acid', 'phytosteryl', 'ceramide np', 'hydrogenated polydecene', 'butyrospermum parkii', 'ceteareth 20', 'glyceryl citrate/lactate/linoleate/oleate', 'butylene glycol', 'hydroxypropyl bispalmitamide mea', 'glycosphingolipids', 'ceramide ap', 'limnanthes alba seed oil', 'glycine soja extract', 'ethylhexyl isononanoate', 'hydrogenated lecithin', 'capric triglyceride', 'ceramide eop', 'alteromonas extract', 'bacillus ferment', 'glycerylamidoethyl methacrylate/stearyl methacrylate copolymer', 'dipropylene glycol', 'lavandula angustifolia', 'citrus grandis', 'cymbopogon citratus oil', 'pelargonium graveolens extract', 'citrus aurantium dulcis', 'pogostemon cablin flower extract', 'sandalwood', 'chamomilla recutita flower oil', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'squalene', 'polysorbate 60', 'acrylates/c10-30 alkyl', 'tromethamine', 'allantoin', 'disodium edta', 'propylene glycol', 'ethylhexyl glycerin']",£21.95,https://www.lookfantastic.com/holika-holika-good-cera-super-ceramide-moisture-balm/11693543.html
Benton Aloe Soothing Mask Pack -1 Ea,Mask,"['aloe barbadenis extract', 'water', 'camellia sinensis extract', 'glycerin', 'pentylene glycol', 'sodium pca', 'aloe barbadenis extract', 'sodium hyaluronate', 'beta-glucan', 'cucumis sativus extract', 'butylene glycol', 'xanthan gum', 'microcrystalline wax', 'sodium gluconate', '1,2-hexanediol', 'propanediol', 'dipotassium glycyrrhizate', 'cellulose gum']",£2.00,https://www.lookfantastic.com/benton-aloe-soothing-mask-pack-1-ea/11848324.html
OSKIA Renaissance Mask (50ml),Mask,"['glycerin', 'water', 'cetearyl olivate', 'methyl sulphonyl methane', 'sorbitan olivate', 'lactic acid', 'sodium lactate', 'carica papaya fruit extract', 'maltodextrin', 'citrus limon juice extract', 'passiflora quadrangularis fruit extract', 'ananas sativas fruit extract', 'vitis vinifera extract', 'benzyl alcohol', 'parfum', 'alcohol denat', 'xanthan gum', 'lepidium sativum sprout extract', 'inulin', 'alpha-glucan oligosaccharide', 'ribose', 'petasites japonicus (butterbur) root extract', 'lecithin', 'dehydroacetic acid', 'potassium sorbate', 'sodium bisulfite', 'phenoxyethanol', 'geraniol', 'citronellol', 'linalool', 'ci 77491']",£60.00,https://www.lookfantastic.com/oskia-renaissance-mask-50ml/10539055.html
Chantecaille Bio Lift Mask - 50ml,Mask,"['rosa damascena', 'water', 'propanediol', 'capric triglyceride', 'glycerin', 'coco-caprylate', 'c12-20', 'potassium cetyl phosphate', 'carbomer', 'saccharide isomerate', 'phenoxyethanol', 'titanium dioxide', 'ethylhexyl glycerin', 'c12-13', 'prunus armeniaca fruit extract', 'sodium hydroxide', 'citrus aurantium dulcis', 'pullulan', 'imperata cylindrica root extract', 'chondrus crispus extract', 'propylene glycol', 'disodium edta', 'triticum vulgare bran extract', 'bisabolol', 'pentylene glycol', 'tocopheryl acetate', 'butylene glycol', 'algae extract', 'rosa damascena', 'sodium hyaluronate', 'citronellol', 'peg-8', 'acacia decurrens wax', 'jasminum grandiflorum flower extract', 'narcissus poeticus flower wax', 'pelargonium graveolens extract', 'citric acid', 'sodium citrate', 'geraniol', 'caprylyl glycol', 'centella asiatica extract', 'tocopherol', 'saxifraga sarmentosa extract', 'sodium benzoate', 'ascorbyl palmitate', 'potassium sorbate', 'linalool', 'acetyl hexapeptide-8', 'acrylates/c10-30 alkyl', 'ascorbic acid']",£148.00,https://www.lookfantastic.com/chantecaille-bio-lift-mask-50ml/11219032.html
Eve Lom Rescue Mask (100ml),Mask,"['kaolin', 'water', 'glycerin', 'alcohol denat', 'mel', 'prunus amygdalus dulcis', 'camphor', 'magnesium aluminum silicate', 'sodium chloride', 'allantoin', 'aluminum chlorohydrate', 'propylene glycol', 'calcium chloride']",£55.00,https://www.lookfantastic.com/eve-lom-rescue-mask-100ml/10365803.html
Chantecaille Jasmine & Lily Healing Mask,Mask,"['rosa damascena', 'water', 'glycerin', 'capric triglyceride', 'ppg-15 stearyl ether', 'c12-20', 'coco-caprylate', 'potassium cetyl phosphate', 'carbomer', 'phenoxyethanol', 'saccharide isomerate', 'titanium dioxide', 'ethylhexyl glycerin', 'sodium hydroxide', 'chlorphenesin', 'macadamia ternifolia seed oil', 'oenothera biennis flower extract', 'chondrus crispus extract', 'bisabolol', 'panthenol', 'glycyrrhetinic acid', 'sodium hyaluronate', 'acacia decurrens wax', 'jasminum grandiflorum flower extract', 'narcissus poeticus flower wax', 'jasminum grandiflorum flower extract', 'peg-8', 'citric acid', 'sodium citrate', 'tocopherol', 'pelargonium graveolens extract', 'rosa damascena', 'lilium candidum flower extract', 'ascorbyl palmitate', 'ascorbic acid', 'citronellol', 'geraniol', 'benzyl benzoate', 'linalool', 'eugenol']",£75.00,https://www.lookfantastic.com/chantecaille-jasmine-lily-healing-mask/11219064.html
Omorovicza Blue Diamond Peel (50ml),Peel,"['glycerin', 'water', 'lactobionic acid', 'cetearyl olivate', 'sorbitan olivate', 'phenoxyethanol', 'lactic acid', 'sodium lactate', 'mangifera indica extract', 'spondias mombin pulp extract', 'musa sapientum (banana) pulp extract', 'copper gluconate', 'parfum', 'behenyl alcohol', 'butyrospermum parkii', 'ci 77019', 'ethylhexyl glycerin', 'xanthan gum', 'titanium dioxide', 'castor oil', 'stearyl alcohol', 'protease', 'subtilisin', 'benzyl alcohol', 'potassium sorbate', 'phospholipid', 'acetyl pentapeptide', 'diamond', 'silica', 'linalool', 'limonene', 'geraniol', 'citral', 'lilial', 'benzyl benzoate']",£155.00,https://www.lookfantastic.com/omorovicza-blue-diamond-peel-50ml/10997778.html
Clinique All About Eyes Eye Cream 15ml,Eye Care,"['cyclopentasiloxane', 'water', 'isostearyl palmitate', 'polyethylene', 'butylene glycol', 'polysilicone-11', 'ethylene/acrylic acid copolymer', 'morus nigra extract', 'caffeinee', 'phytosphingosine', 'triticum vulgare bran extract', 'scutellaria baicalensis extract', 'whey protein', 'olea europaea fruit oil', 'camellia sinensis extract', 'cholesterol', 'linoleic acid', 'tocopheryl acetate', 'magnesium ascorbyl phosphate', 'pyridoxine dipalmitate', 'sucrose', 'glycerin', 'dimethicon', 'glyceryl laurate', 'dimethicon', 'petrolatum', 'cetyl dimethicon', 'propylene carbonate', 'sodium chloride', 'quaternium-90 bentonite', 'disodium edta', 'phenoxyethanol', 'ci 77491', 'ci 77492', 'ci 77499']",£27.50,https://www.lookfantastic.com/clinique-all-about-eyes-eye-cream-15ml/11144763.html
DECLÉOR Hydra Floral Everfresh Hydrating Wide-Open Eye Gel,Eye Care,"['centaurea cyanus extract', 'water', 'propanediol', 'alcohol denat', 'glycerin', 'simmondsia chinensis leaf extract', 'tocopherol', 'ammonium', 'olyacryloyldimethyl taurate', 'caffeinee', 'arganine', 'carbomer', 'caprylyl glycol', 'cocamidopropyl betaine', 'scutellaria baicalensis extract', 'sodium hyaluronate', 'helianthus annuus seed oil', 'salicylic acid', 'citric acid']",£24.50,https://www.lookfantastic.com/decleor-hydra-floral-everfresh-hydrating-wide-open-eye-gel/11740991.html
Aesop Parsley Seed Anti-Oxidant Eye Serum 15ml,Eye Care,"['aloe barbadenis extract', 'water', 'peg 60 almond glycerides', 'sodium lactate', 'hamamelis virginiana', 'magnesium ascorbyl phosphate', 'benzyl alcohol', 'glycine soja extract', 'lavandula angustifolia', 'phenoxyethanol', 'sorbitol', 'polysorbate-20', 'panthenol', 'disodium edta', 'camellia sinensis extract', 'ormenis multicaulis oil', 'benzalkonium chloride', 'chamomilla recutita flower oil', 'methylisothiazolinone', 'carum petroselinum seed oil', 'daucus carota sativa extract', 'beta-carotene', 'tocopherol', 'linalool', 'limonene']",£57.00,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-serum-15ml/10363561.html
Aesop Parsley Seed Anti-Oxidant Eye Cream 10ml,Eye Care,"['aloe barbadenis extract', 'water', 'peg-60 almond glycerides', 'hamamelis virginiana', 'magnesium ascorbyl phosphate', 'peg-150 distearate', 'benzyl alcohol', 'clycine soja sorbitol', 'polysorbate-20', 'panthenol', 'linalool', 'disodium edta', 'camellia', 'sinensis leaf extracts', 'omenis multicaulis oil', 'benzalkonium chloride', 'chamomilla recutita flower oil', 'methylisothiazolinone', 'carum petroselinum seed oil', 'daucus carota sativa extract', 'limonene', 'beta-carotene', 'tocopherol']",£63.00,https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-cream-10ml/10366954.html
The Ordinary Squalane Cleanser Supersize Exclusive 150ml,Cleanser,"['squalene', 'water', 'coco-caprylate', 'glycerin', 'sucrose stearate', 'ethyl macadamiate', 'capric triglyceride', 'sucrose laurate', 'hydrogenated starch hydrolysate', 'sucrose dilaurate', 'sucrose trilaurate', 'polyacrylate crosspolymer-6', 'isoceteth-20', 'sodium polyacrylate', 'tocopherol', 'hydroxymethoxyphenyl decanone', 'trisodium ethylenediamine disuccinate', 'malic acid', 'ethylhexyl glycerin', 'chlorphenesin']",£14.20,https://www.lookfantastic.com/the-ordinary-squalane-cleanser-supersize-exclusive-150ml/12236022.html
Avène Cleanance Cleansing Gel 200ml,Cleanser,"['sodium lauroyl', 'water', 'zinc coceth sulfate', 'polysorbate-20', 'sodium cocoamphoacetate', 'ceteareth-60 myristyl glycol', 'castor oil', 'citric acid', 'disodium edta', 'parfum', 'glyceryl laurate', 'ci 61570', 'sodium benzoate', 'sodium hydroxide', 'ci 19140', 'zinc gluconate']",£12.00,https://www.lookfantastic.com/avene-cleanance-cleansing-gel-200ml/11571223.html
The Ordinary Squalane Cleanser 50ml,Cleanser,"['squalene', 'water', 'covo-caprylate/carpate', 'glycerin', 'sucrose stearate', 'ethycal macadamiate', 'malic acid', 'trocopherol', 'hydroxymethoxyphenyl decanone', 'sucrose laurate', 'sucrose dilaurate', 'sucrose trilaurate', 'hydrogenated starch hydrolysate', 'polyacrylate crosspolymer-6', 'isoceteth-20', 'sodium polyacrylate', 'trisodium ethylenediamine disuccinate', 'ethylhexyl glycerin', 'chlorphenesin']",£5.80,https://www.lookfantastic.com/the-ordinary-squalane-cleanser-50ml/12056630.html
Pai Lotus and Orange Blossom BioAffinity Toner 50ml,Toner,"['neroli', 'water', 'nelumbo nucifera flower extract', 'citrus aurantium amara flower water', 'glycerin', 'rosa damascena', 'sodium anisate', 'sodium levulinate', 'lactic acid']",£30.00,https://www.lookfantastic.com/pai-lotus-and-orange-blossom-bioaffinity-skin-tonic-50ml/10528442.html
The Organic Pharmacy Herbal Toner 100ml,Toner,"['aloe barbadenis extract', 'water', 'hamamelis virginiana', 'althaea officinalis root extract', 'calendula officinalis extract', 'camellia sinensis extract', 'blue chamomile (marticaria chamomilla)', 'equisetum arvense extract', 'eucalyptus globulus', 'hypericum perforatum flower extract', 'lavandula angustifolia', 'mentha piperita extract', 'rosa damascena', 'sambucus nigra', 'chickweed (stellaria media)', 'symphytum', 'coltsfoot', 'nettles (urtica dioca)', 'citrus grandis', 'citrus limon juice extract', 'styrax benzoin', 'citral', 'limonene']",£35.00,https://www.lookfantastic.com/the-organic-pharmacy-herbal-toner-100ml/12100151.html
Avant Skincare Proactive Mandelic Acid Restoring and Anti-Pollution Toner 200ml,Toner,"['allantoin', 'water', 'diglycerin', 'ethylhexyl glycerin', 'glycerin', 'hydrolyzed wheat protein', 'lactic acid', 'lysine', 'mandelic acid', 'parfum', 'pca', 'phenoxyethanol', 'polysorbate-20', 'potassium sorbate', 'saccharomyces/copper ferment', 'saccharomyces/iron ferment', 'saccharomyces/magnesium ferment', 'saccharomyces/silicon ferment', 'saccharomyces/zinc ferment', 'sodium pca', 'sorbitol', 'urea']",£76.00,https://www.lookfantastic.com/avant-skincare-proactive-mandelic-acid-restoring-and-anti-pollution-toner-200ml/12542198.html
Holika Holika Prime Youth Black Snail Repair Toner,Toner,"['snail secretion filtrate', 'water', 'butylene glycol', 'alcohol denat', 'glycereth-26', 'niacinamide', 'dipropylene glycol', 'portulaca oleracea extract', 'glycerin', 'peg-7 capric triglyceride', 'beta-glucan', 'peg-32', 'castor oil', 'tromethamine', 'carbomer', 'punica granatum seed oil', 'panax ginseng root extract', 'canola oil', 'yeast extract', 'glycine soja extract', 'pearl extract', 'caprylhydroxamic acid', 'caprylyl glycol', 'adenosine', 'disodium edta', 'sodium hyaluronate', 'phenoxyethanol', 'sodium benzoate', 'potassium sorbate', 'parfum']",£39.95,https://www.lookfantastic.com/holika-holika-prime-youth-black-snail-repair-toner/11693554.html
