product_name,product_type,clean_ingreds,price,product_url,water_index,water_word
The Ordinary 100% Pycnogenol 5% 15ml,Serum,"['propanediol', 'pinus pinaster bark extract']",£8.90,https://www.lookfantastic.com/the-ordinary-100-pycnogenol-5-15ml/12049287.html,,
The Ordinary 100% Cold Pressed Virgin Marula Oil 30ml,Oil,['sclerocarya birrea seed oil'],£8.40,https://www.lookfantastic.com/the-ordinary-100-cold-pressed-virgin-marula-oil-30ml/11416763.html,,
The Ordinary 100% Organic Virgin Chia Seed Oil,Oil,['salvia hispanica herb extract'],£6.00,https://www.lookfantastic.com/the-ordinary-100-organic-virgin-chia-seed-oil/11841279.html,,
Mama Mio The Tummy Rub Oil 120ml,Oil,"['prunus amygdalus dulcis', 'parfum', 'argania spinosa extract', 'cocos nucifera fruit extract', 'persea gratissima oil', 'limonene', 'olea europaea fruit oil', 'rosa canina flower oil', 'plukenetia volubilis oil', 'tocopherol', 'tocopheryl acetate', 'helianthus annuus seed oil', 'linalool', 'citral', 'evernia furfuracea (treemoss) extract', 'citronellol', 'benzyl benzoate']",£27.00,https://www.lookfantastic.com/mama-mio-the-tummy-rub-oil-120ml/12078034.html,,
Indeed Labs Squalane Facial Oil 30ml,Oil,['squalane'],£19.99,https://www.lookfantastic.com/indeed-labs-squalane-facial-oil-30ml/12188464.html,,
Mama Mio The Tummy Rub Oil 200ml,Oil,"['prunus amygdalus dulcis', 'parfum', 'argania spinosa extract', 'cocos nucifera fruit extract', 'persea gratissima oil', 'limonene', 'olea europaea fruit oil', 'rosa canina flower oil', 'plukenetia volubilis oil', 'tocopherol', 'tocopheryl acetate', 'helianthus annuus seed oil', 'linalool', 'citral', 'evernia furfuracea (treemoss) extract', 'citronellol', 'benzyl benzoate']",£35.00,https://www.lookfantastic.com/mama-mio-the-tummy-rub-oil-200ml-super-size/12078036.html,,
"JASON Vitamin E 32,000iu Oil - Scar & Stretch Mark Treatment 30ml",Oil,['tocopheryl acetate'],£9.49,https://www.lookfantastic.com/jason-vitamin-e-32-000iu-oil-scar-stretch-mark-treatment-30ml/10546525.html,,
Trilogy Certified Organic Rosehip Oil 20ml,Oil,['rosa canina flower oil'],£19.50,https://www.lookfantastic.com/trilogy-certified-organic-rosehip-oil-20ml/10557481.html,,
Trilogy Certified Organic Rosehip Oil 45ml,Oil,['rosa canina flower oil'],£34.50,https://www.lookfantastic.com/trilogy-certified-organic-rosehip-oil-45ml/10557482.html,,
Sukin Rose Hip Oil (25ml),Oil,['rosa canina flower oil'],£13.95,https://www.lookfantastic.com/sukin-rose-hip-oil-25ml/10961549.html,,
