date_updated,category_id,category_name,product_id,product_url,meta_title,title_content,meta_img,img_content
2021-11-04 06:51:29.467739,9,Moisturizer,89,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-30ml/11668593.html,"<meta content=""Clinique Moisture Surge 100 Hour Auto-Replenishing Hydrator 30ml"" property=""og:title""/>",Clinique Moisture Surge 100 Hour Auto-Replenishing Hydrator 30ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12849045-1844850030421360.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12849045-1844850030421360.jpg
2021-11-04 06:51:32.985494,9,Moisturizer,90,https://www.lookfantastic.com/l-oreal-paris-hydra-genius-liquid-care-moisturiser-for-normal-combination-skin-70ml-2-pack-exclusive/12313627.html,"<meta content=""L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive"" property=""og:title""/>",L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12313627-1074712342365896.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12313627-1074712342365896.jpg
2021-11-04 06:51:35.553233,9,Moisturizer,91,https://www.lookfantastic.com/murad-hydro-dynamic-ultimate-moisture-50ml/10475423.html,"<meta content=""Murad Hydro-Dynamic™ Ultimate Moisture (50ml)"" property=""og:title""/>",Murad Hydro-Dynamic™ Ultimate Moisture (50ml),"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10475423-6094896386859426.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10475423-6094896386859426.jpg
2021-11-04 06:52:29.678580,9,Moisturizer,92,https://www.lookfantastic.com/clinique-redness-solutions-daily-relief-cream-50ml/11144771.html,"<meta content=""Clinique Redness Solutions Daily Relief Cream 50ml"" property=""og:title""/>",Clinique Redness Solutions Daily Relief Cream 50ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/11144771-1844588266445482.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/11144771-1844588266445482.jpg
2021-11-04 06:52:32.400224,9,Moisturizer,93,https://www.lookfantastic.com/decleor-hydra-floral-anti-pollution-hydrating-rich-cream/11740989.html,"<meta content=""DECLÉOR Neroli Bigarade Essential Oil Hydrating Rich Day Cream 50ml"" property=""og:title""/>",DECLÉOR Neroli Bigarade Essential Oil Hydrating Rich Day Cream 50ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11740989-1194726665913563.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11740989-1194726665913563.jpg
2021-11-04 06:52:36.123392,9,Moisturizer,94,https://www.lookfantastic.com/elemis-pro-collagen-oxygenating-night-cream-50ml/10366589.html,"<meta content=""Elemis Pro-Collagen Oxygenating Night Cream 50ml"" property=""og:title""/>",Elemis Pro-Collagen Oxygenating Night Cream 50ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10366589-2964891241118780.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10366589-2964891241118780.jpg
2021-11-04 06:53:29.770505,9,Moisturizer,95,https://www.lookfantastic.com/weleda-skin-food-75ml-light/12147428.html,"<meta content=""Weleda Skin Food 75ml - Light"" property=""og:title""/>",Weleda Skin Food 75ml - Light,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12147428-8414866376999122.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12147428-8414866376999122.jpg
2021-11-04 06:53:32.378713,9,Moisturizer,96,https://www.lookfantastic.com/clinique-moisture-surge-spf25-sheertint-hydrator-universal-light-medium-40ml/12075753.html,"<meta content=""Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml"" property=""og:title""/>",Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml,"<meta content=""https://static.thcdn.com/images/small/original/productimg/960/960/12075753-1294661306888277.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original/productimg/960/960/12075753-1294661306888277.jpg
2021-11-04 06:53:35.174340,9,Moisturizer,97,https://www.lookfantastic.com/the-inkey-list-bakuchiol-moisturiser-30ml/12211783.html,"<meta content=""The INKEY List Bakuchiol Moisturiser 30ml"" property=""og:title""/>",The INKEY List Bakuchiol Moisturiser 30ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12211783-1524895728607469.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12211783-1524895728607469.jpg
2021-11-04 06:54:29.691555,9,Moisturizer,98,https://www.lookfantastic.com/bareminerals-butter-drench-intense-moisurising-day-cream/11262518.html,"<meta content=""bareMinerals Butter Drench Intense Moisurising Day Cream"" property=""og:title""/>",bareMinerals Butter Drench Intense Moisurising Day Cream,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/11262518-5764871576702058.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/11262518-5764871576702058.jpg
2021-11-04 06:54:32.463687,9,Moisturizer,99,https://www.lookfantastic.com/eucerin-anti-pigment-spf30-day-cream-50ml/12034025.html,"<meta content=""Eucerin Anti-Pigment SPF30 Day Cream 50ml"" property=""og:title""/>",Eucerin Anti-Pigment SPF30 Day Cream 50ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/12034025-1564767840068913.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/12034025-1564767840068913.jpg
2021-11-04 06:54:35.229831,9,Moisturizer,100,https://www.lookfantastic.com/clinique-for-men-oil-control-moisturiser-100ml/10921699.html,"<meta content=""Clinique for Men Oil-Control Moisturiser 100ml"" property=""og:title""/>",Clinique for Men Oil-Control Moisturiser 100ml,"<meta content=""https://static.thcdn.com/images/small/original//productimg/960/960/10921699-2844755375179439.jpg"" crossorigin="""" loading=""lazy"" property=""og:image""/>",https://static.thcdn.com/images/small/original//productimg/960/960/10921699-2844755375179439.jpg
