category_id,category_name,product_id,num_ingredients,date_updated
1,Cleanser,575,15,2021-11-02 06:06:11.244153
1,Cleanser,532,18,2021-11-02 06:06:11.244189
1,Cleanser,550,21,2021-11-02 06:06:11.244202
1,Cleanser,534,22,2021-11-02 06:06:11.244215
1,Cleanser,545,16,2021-11-02 06:06:11.244227
1,Cleanser,527,24,2021-11-02 06:06:11.244245
1,Cleanser,587,18,2021-11-02 06:06:11.244258
1,Cleanser,556,32,2021-11-02 06:06:11.244270
1,Cleanser,584,21,2021-11-02 06:06:11.244282
1,Cleanser,554,13,2021-11-02 06:06:11.244295
1,Cleanser,567,27,2021-11-02 06:06:11.244307
1,Cleanser,548,13,2021-11-02 06:06:11.244319
1,Cleanser,714,20,2021-11-02 06:06:11.244332
1,Cleanser,511,15,2021-11-02 06:06:11.244344
1,Cleanser,574,18,2021-11-02 06:06:11.244356
1,Cleanser,530,28,2021-11-02 06:06:11.244368
1,Cleanser,561,29,2021-11-02 06:06:11.244380
1,Cleanser,560,18,2021-11-02 06:06:11.244393
1,Cleanser,581,30,2021-11-02 06:06:11.244405
1,Cleanser,522,24,2021-11-02 06:06:11.244417
1,Cleanser,738,22,2021-11-02 06:06:11.244429
1,Cleanser,528,27,2021-11-02 06:06:11.244442
1,Cleanser,562,26,2021-11-02 06:06:11.244454
1,Cleanser,524,49,2021-11-02 06:06:11.244466
1,Cleanser,592,18,2021-11-02 06:06:11.244478
1,Cleanser,540,22,2021-11-02 06:06:11.244491
1,Cleanser,549,31,2021-11-02 06:06:11.244503
1,Cleanser,590,29,2021-11-02 06:06:11.244535
1,Cleanser,526,8,2021-11-02 06:06:11.244547
1,Cleanser,529,11,2021-11-02 06:06:11.244559
1,Cleanser,542,17,2021-11-02 06:06:11.244571
1,Cleanser,533,42,2021-11-02 06:06:11.244584
1,Cleanser,516,18,2021-11-02 06:06:11.244596
1,Cleanser,564,14,2021-11-02 06:06:11.244608
1,Cleanser,535,21,2021-11-02 06:06:11.244620
1,Cleanser,715,16,2021-11-02 06:06:11.244633
1,Cleanser,569,26,2021-11-02 06:06:11.244645
1,Cleanser,513,14,2021-11-02 06:06:11.244660
1,Cleanser,512,16,2021-11-02 06:06:11.244672
1,Cleanser,510,30,2021-11-02 06:06:11.244684
1,Cleanser,565,22,2021-11-02 06:06:11.244697
1,Cleanser,552,29,2021-11-02 06:06:11.244709
1,Cleanser,582,36,2021-11-02 06:06:11.244721
1,Cleanser,739,16,2021-11-02 06:06:11.244734
1,Cleanser,580,57,2021-11-02 06:06:11.244746
1,Cleanser,566,15,2021-11-02 06:06:11.244758
1,Cleanser,589,18,2021-11-02 06:06:11.244770
1,Cleanser,544,17,2021-11-02 06:06:11.244785
1,Cleanser,509,26,2021-11-02 06:06:11.244859
1,Cleanser,517,7,2021-11-02 06:06:11.244873
1,Cleanser,591,30,2021-11-02 06:06:11.244883
1,Cleanser,538,21,2021-11-02 06:06:11.244892
1,Cleanser,576,8,2021-11-02 06:06:11.244904
1,Cleanser,518,21,2021-11-02 06:06:11.244916
1,Cleanser,593,25,2021-11-02 06:06:11.244928
1,Cleanser,514,23,2021-11-02 06:06:11.244941
1,Cleanser,568,21,2021-11-02 06:06:11.244953
1,Cleanser,507,23,2021-11-02 06:06:11.244965
1,Cleanser,515,38,2021-11-02 06:06:11.244978
1,Cleanser,570,21,2021-11-02 06:06:11.244990
1,Cleanser,508,25,2021-11-02 06:06:11.245002
1,Cleanser,571,19,2021-11-02 06:06:11.245015
1,Cleanser,559,30,2021-11-02 06:06:11.245027
1,Cleanser,543,14,2021-11-02 06:06:11.245039
1,Cleanser,521,26,2021-11-02 06:06:11.245052
1,Cleanser,523,20,2021-11-02 06:06:11.245064
1,Cleanser,551,24,2021-11-02 06:06:11.245076
1,Cleanser,716,19,2021-11-02 06:06:11.245088
1,Cleanser,588,21,2021-11-02 06:06:11.245100
1,Cleanser,577,25,2021-11-02 06:06:11.245113
1,Cleanser,547,25,2021-11-02 06:06:11.245125
1,Cleanser,585,23,2021-11-02 06:06:11.245137
1,Cleanser,553,17,2021-11-02 06:06:11.245149
1,Cleanser,537,13,2021-11-02 06:06:11.245162
1,Cleanser,572,42,2021-11-02 06:06:11.245174
1,Cleanser,595,26,2021-11-02 06:06:11.245186
1,Cleanser,536,24,2021-11-02 06:06:11.245198
1,Cleanser,586,14,2021-11-02 06:06:11.245211
1,Cleanser,539,17,2021-11-02 06:06:11.245223
1,Cleanser,541,20,2021-11-02 06:06:11.245235
1,Cleanser,740,18,2021-11-02 06:06:11.245247
1,Cleanser,594,25,2021-11-02 06:06:11.245260
1,Cleanser,563,34,2021-11-02 06:06:11.245272
1,Cleanser,557,34,2021-11-02 06:06:11.245284
1,Cleanser,555,21,2021-11-02 06:06:11.245296
1,Cleanser,531,19,2021-11-02 06:06:11.245308
1,Cleanser,583,21,2021-11-02 06:06:11.245320
1,Cleanser,546,26,2021-11-02 06:06:11.245333
1,Cleanser,558,21,2021-11-02 06:06:11.245345
1,Cleanser,520,28,2021-11-02 06:06:11.245357
1,Cleanser,525,19,2021-11-02 06:06:11.245369
1,Cleanser,578,31,2021-11-02 06:06:11.245382
1,Cleanser,573,23,2021-11-02 06:06:11.245394
1,Cleanser,579,23,2021-11-02 06:06:11.245406
1,Cleanser,519,24,2021-11-02 06:06:11.245418
2,Exfoliator,652,17,2021-11-02 06:06:11.248427
2,Exfoliator,662,44,2021-11-02 06:06:11.248451
2,Exfoliator,675,19,2021-11-02 06:06:11.248464
2,Exfoliator,671,33,2021-11-02 06:06:11.248476
2,Exfoliator,666,32,2021-11-02 06:06:11.248488
2,Exfoliator,669,22,2021-11-02 06:06:11.248500
2,Exfoliator,681,24,2021-11-02 06:06:11.248513
2,Exfoliator,658,19,2021-11-02 06:06:11.248538
2,Exfoliator,672,34,2021-11-02 06:06:11.248551
2,Exfoliator,674,30,2021-11-02 06:06:11.248563
2,Exfoliator,683,22,2021-11-02 06:06:11.248575
2,Exfoliator,663,28,2021-11-02 06:06:11.248587
2,Exfoliator,653,25,2021-11-02 06:06:11.248600
2,Exfoliator,668,30,2021-11-02 06:06:11.248612
2,Exfoliator,726,28,2021-11-02 06:06:11.248625
2,Exfoliator,654,19,2021-11-02 06:06:11.248637
2,Exfoliator,742,9,2021-11-02 06:06:11.248649
2,Exfoliator,661,29,2021-11-02 06:06:11.248662
2,Exfoliator,729,31,2021-11-02 06:06:11.248674
2,Exfoliator,723,16,2021-11-02 06:06:11.248686
2,Exfoliator,673,90,2021-11-02 06:06:11.248701
2,Exfoliator,665,20,2021-11-02 06:06:11.248714
2,Exfoliator,724,31,2021-11-02 06:06:11.248726
2,Exfoliator,670,25,2021-11-02 06:06:11.248738
2,Exfoliator,664,25,2021-11-02 06:06:11.248751
2,Exfoliator,660,20,2021-11-02 06:06:11.248763
2,Exfoliator,657,15,2021-11-02 06:06:11.248775
2,Exfoliator,682,12,2021-11-02 06:06:11.248787
2,Exfoliator,727,31,2021-11-02 06:06:11.248800
2,Exfoliator,655,23,2021-11-02 06:06:11.248812
2,Exfoliator,679,24,2021-11-02 06:06:11.248824
2,Exfoliator,721,31,2021-11-02 06:06:11.248837
2,Exfoliator,680,22,2021-11-02 06:06:11.248849
2,Exfoliator,728,45,2021-11-02 06:06:11.248861
2,Exfoliator,678,30,2021-11-02 06:06:11.248943
2,Exfoliator,676,30,2021-11-02 06:06:11.248950
2,Exfoliator,677,14,2021-11-02 06:06:11.248959
2,Exfoliator,743,29,2021-11-02 06:06:11.248968
2,Exfoliator,659,19,2021-11-02 06:06:11.248978
2,Exfoliator,656,23,2021-11-02 06:06:11.248990
2,Exfoliator,725,13,2021-11-02 06:06:11.249003
2,Exfoliator,722,13,2021-11-02 06:06:11.249015
2,Exfoliator,667,20,2021-11-02 06:06:11.249027
3,Peel,407,20,2021-11-02 06:06:11.251786
3,Peel,413,34,2021-11-02 06:06:11.251804
3,Peel,408,40,2021-11-02 06:06:11.251816
3,Peel,392,17,2021-11-02 06:06:11.251828
3,Peel,419,27,2021-11-02 06:06:11.251840
3,Peel,398,35,2021-11-02 06:06:11.251852
3,Peel,391,18,2021-11-02 06:06:11.251864
3,Peel,414,28,2021-11-02 06:06:11.251876
3,Peel,397,29,2021-11-02 06:06:11.251888
3,Peel,405,31,2021-11-02 06:06:11.251900
3,Peel,420,25,2021-11-02 06:06:11.251912
3,Peel,399,25,2021-11-02 06:06:11.251924
3,Peel,400,52,2021-11-02 06:06:11.251936
3,Peel,415,28,2021-11-02 06:06:11.251948
3,Peel,401,43,2021-11-02 06:06:11.251961
3,Peel,395,29,2021-11-02 06:06:11.251973
3,Peel,411,33,2021-11-02 06:06:11.251985
3,Peel,418,12,2021-11-02 06:06:11.251997
3,Peel,410,37,2021-11-02 06:06:11.252009
3,Peel,393,25,2021-11-02 06:06:11.252021
3,Peel,412,23,2021-11-02 06:06:11.252033
3,Peel,403,40,2021-11-02 06:06:11.252045
3,Peel,406,38,2021-11-02 06:06:11.252057
3,Peel,409,28,2021-11-02 06:06:11.252069
3,Peel,709,35,2021-11-02 06:06:11.252081
3,Peel,404,31,2021-11-02 06:06:11.252093
3,Peel,394,31,2021-11-02 06:06:11.252105
3,Peel,396,43,2021-11-02 06:06:11.252117
3,Peel,417,36,2021-11-02 06:06:11.252129
3,Peel,416,7,2021-11-02 06:06:11.252141
3,Peel,402,49,2021-11-02 06:06:11.252153
4,Toner,607,8,2021-11-02 06:06:11.254826
4,Toner,621,28,2021-11-02 06:06:11.254843
4,Toner,741,12,2021-11-02 06:06:11.254855
4,Toner,620,40,2021-11-02 06:06:11.254867
4,Toner,623,8,2021-11-02 06:06:11.254880
4,Toner,615,30,2021-11-02 06:06:11.254892
4,Toner,618,21,2021-11-02 06:06:11.254904
4,Toner,616,13,2021-11-02 06:06:11.254916
4,Toner,633,31,2021-11-02 06:06:11.254929
4,Toner,647,22,2021-11-02 06:06:11.254941
4,Toner,644,9,2021-11-02 06:06:11.256040
4,Toner,631,24,2021-11-02 06:06:11.256059
4,Toner,598,11,2021-11-02 06:06:11.256072
4,Toner,640,24,2021-11-02 06:06:11.256082
4,Toner,606,6,2021-11-02 06:06:11.256090
4,Toner,632,19,2021-11-02 06:06:11.256103
4,Toner,646,11,2021-11-02 06:06:11.256115
4,Toner,600,25,2021-11-02 06:06:11.256127
4,Toner,717,9,2021-11-02 06:06:11.256139
4,Toner,628,34,2021-11-02 06:06:11.256151
4,Toner,596,29,2021-11-02 06:06:11.256161
4,Toner,602,7,2021-11-02 06:06:11.256167
4,Toner,630,23,2021-11-02 06:06:11.256175
4,Toner,614,23,2021-11-02 06:06:11.256183
4,Toner,645,46,2021-11-02 06:06:11.256192
4,Toner,638,19,2021-11-02 06:06:11.256198
4,Toner,649,15,2021-11-02 06:06:11.256207
4,Toner,639,23,2021-11-02 06:06:11.256219
4,Toner,597,27,2021-11-02 06:06:11.256231
4,Toner,629,24,2021-11-02 06:06:11.256238
4,Toner,720,30,2021-11-02 06:06:11.256246
4,Toner,626,13,2021-11-02 06:06:11.256259
4,Toner,604,13,2021-11-02 06:06:11.256271
4,Toner,599,3,2021-11-02 06:06:11.256283
4,Toner,719,22,2021-11-02 06:06:11.256295
4,Toner,648,29,2021-11-02 06:06:11.256307
4,Toner,624,12,2021-11-02 06:06:11.256319
4,Toner,619,16,2021-11-02 06:06:11.256329
4,Toner,608,18,2021-11-02 06:06:11.256392
4,Toner,613,28,2021-11-02 06:06:11.256399
4,Toner,625,24,2021-11-02 06:06:11.256408
4,Toner,609,31,2021-11-02 06:06:11.256414
4,Toner,611,34,2021-11-02 06:06:11.256421
4,Toner,634,21,2021-11-02 06:06:11.256427
4,Toner,636,11,2021-11-02 06:06:11.256434
4,Toner,24,3,2021-11-02 06:06:11.256443
4,Toner,651,27,2021-11-02 06:06:11.256449
4,Toner,605,19,2021-11-02 06:06:11.256456
4,Toner,637,56,2021-11-02 06:06:11.256463
4,Toner,23,3,2021-11-02 06:06:11.256486
4,Toner,635,15,2021-11-02 06:06:11.256495
4,Toner,718,23,2021-11-02 06:06:11.256507
4,Toner,610,19,2021-11-02 06:06:11.256516
4,Toner,643,9,2021-11-02 06:06:11.256524
4,Toner,622,13,2021-11-02 06:06:11.256537
4,Toner,642,10,2021-11-02 06:06:11.256543
4,Toner,650,10,2021-11-02 06:06:11.256551
4,Toner,627,20,2021-11-02 06:06:11.256558
4,Toner,617,15,2021-11-02 06:06:11.256564
4,Toner,601,23,2021-11-02 06:06:11.256572
4,Toner,641,26,2021-11-02 06:06:11.256578
4,Toner,612,17,2021-11-02 06:06:11.256587
4,Toner,603,19,2021-11-02 06:06:11.256594
6,Serum,199,56,2021-11-02 06:06:11.261221
6,Serum,180,34,2021-11-02 06:06:11.261243
6,Serum,188,38,2021-11-02 06:06:11.261250
6,Serum,149,26,2021-11-02 06:06:11.261257
6,Serum,122,40,2021-11-02 06:06:11.261263
6,Serum,177,25,2021-11-02 06:06:11.261274
6,Serum,129,49,2021-11-02 06:06:11.261286
6,Serum,126,11,2021-11-02 06:06:11.261298
6,Serum,189,28,2021-11-02 06:06:11.261311
6,Serum,158,34,2021-11-02 06:06:11.261323
6,Serum,144,31,2021-11-02 06:06:11.261336
6,Serum,185,16,2021-11-02 06:06:11.261342
6,Serum,135,38,2021-11-02 06:06:11.261351
6,Serum,193,17,2021-11-02 06:06:11.261357
6,Serum,134,29,2021-11-02 06:06:11.261365
6,Serum,205,36,2021-11-02 06:06:11.261378
6,Serum,175,88,2021-11-02 06:06:11.261384
6,Serum,179,46,2021-11-02 06:06:11.261390
6,Serum,145,17,2021-11-02 06:06:11.261399
6,Serum,172,29,2021-11-02 06:06:11.261410
6,Serum,128,25,2021-11-02 06:06:11.261416
6,Serum,166,56,2021-11-02 06:06:11.261423
6,Serum,155,37,2021-11-02 06:06:11.261429
6,Serum,178,38,2021-11-02 06:06:11.261438
6,Serum,201,37,2021-11-02 06:06:11.261450
6,Serum,156,29,2021-11-02 06:06:11.261462
6,Serum,173,26,2021-11-02 06:06:11.261474
6,Serum,183,20,2021-11-02 06:06:11.261487
6,Serum,132,47,2021-11-02 06:06:11.261493
6,Serum,148,50,2021-11-02 06:06:11.261502
6,Serum,160,32,2021-11-02 06:06:11.261509
6,Serum,203,67,2021-11-02 06:06:11.261518
6,Serum,151,59,2021-11-02 06:06:11.261524
6,Serum,168,28,2021-11-02 06:06:11.261531
6,Serum,124,33,2021-11-02 06:06:11.261537
6,Serum,159,35,2021-11-02 06:06:11.261545
6,Serum,206,26,2021-11-02 06:06:11.261552
6,Serum,120,11,2021-11-02 06:06:11.261560
